,CountryName,Total Cases,Total Deaths,Total Recoveries
192,Bonaire,1493,14,1370
193,Antigua and Barbuda,1198,30,938
194,Mauritius,1192,12,775
195,USS Theodore Roosevelt,1102,1,751
196,Charles de Gaulle,1081,0,0
197,Taiwan,1058,11,1026
198,East Timor,1046,1,521
199,Bhutan,910,1,875
200,Guernsey,821,14,807
201,Diamond Princess,712,14,653
202,Faroe Islands,661,1,660
203,Cayman Islands,516,2,487
204,Wallis and Futuna,441,5,11
205,Brunei,219,3,206
206,Dominica,165,0,161
207,Northern Mariana Islands,160,2,32
208,British Virgin Islands,153,1,131
209,Costa Atlantica,148,0,148
210,Grenada,148,1,147
211,Greg Mortimer,128,1,0
212,New Caledonia,121,0,30
213,Fiji,67,2,64
214,Antarctica,58,0,0
215,Falkland Islands,54,0,54
216,Laos,49,0,47
217,Macau,48,0,46
218,Saint Kitts and Nevis,44,0,44
219,Greenland,31,0,31
220,Sahrawi Arab DR,31,3,27
221,Vatican City,29,0,27
222,Anguilla,25,0,22
223,Saint Pierre and Miquelon,24,0,12
224,Montserrat,20,1,18
225,Sint Eustatius,20,0,20
226,Solomon Islands,18,0,5
227,MS Zaandam,13,4,0
228,Coral Princess,12,3,0
229,SeaDream I,9,0,0
230,HNLMS Dolfijn,8,0,8
231,Saba,6,0,6
232,"Saint Helena, Ascension and Tristan da Cunha",5,0,5
233,Marshall Islands,4,0,4
234,American Samoa,4,0,3
235,Samoa,4,0,2
236,Vanuatu,3,0,1
237,Federated States of Micronesia,1,0,1
